age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
59.8,2,10,0,3,2,5,5,4,5,2
38.9,3,10,0,3,4,5,5,4,6,3
61.3,2,10,1,1,3,3,5,4,3,3
62.2,0,7,1,3,4,4,4,1,6,6
32.4,0,9,1,3,7,4,4,2,4,3
40.9,1,7,1,3,4,5,4,2,3,3
73.3,3,6,1,3,3,2,3,3,3,3
30.3,3,8,0,3,3,5,3,2,2,2
19.9,0,6,0,3,2,5,3,2,5,1
62.4,3,10,0,3,6,5,5,2,2,2
28.7,0,10,0,2,1,5,3,4,2,1
46.8,1,7,0,3,6,5,4,2,6,6
36.6,1,8,1,3,4,5,5,1,6,5
22.1,0,8,1,3,2,4,4,1,6,3
80,2,8,1,3,1,2,4,1,2,2
47.8,2,9,1,3,7,4,4,2,6,6
63.6,1,8,0,3,4,3,3,2,3,3
56.3,2,10,1,3,2,3,5,1,3,2
37.9,2,10,0,3,6,5,5,2,6,3
23.3,0,7,1,3,2,3,3,4,1,1
50.6,0,9,1,3,7,4,5,2,4,4
36.1,1,9,0,3,1,5,5,2,2,2
56,0,9,1,3,7,4,4,4,4,3
60.5,0,8,1,3,7,4,5,4,1,1
69,0,9,1,3,2,3,3,1,2,1
65.6,7,9,0,3,2,3,4,4,1,1
20.8,0,10,0,3,2,5,5,1,1,1
37.8,2,8,1,3,6,4,4,4,5,3
80,2,8,0,3,2,3,3,0,1,1
49.2,0,4,1,3,7,4,2,1,4,4
57.5,2,10,1,2,3,4,4,4,3,3
50.1,0,9,0,3,3,4,3,2,4,1
67.8,3,10,1,3,1,3,3,2,2,2
76.7,3,7,1,3,7,4,4,2,3,3
57.3,0,9,1,3,1,2,4,2,2,2
78,2,8,1,3,4,1,4,3,2,2
61.6,0,7,0,3,3,5,3,2,3,2
72.4,3,8,0,2,3,5,4,4,4,2
37.8,0,7,0,3,2,3,3,1,3,2
80,2,5,0,3,1,1,5,0,1,1
51.1,0,10,1,3,2,5,5,1,4,2
68.8,2,8,1,3,5,4,4,1,2,1
67.2,2,5,0,3,3,4,4,4,3,1
28.3,1,8,0,3,5,5,4,1,5,1
26.3,0,9,0,3,6,5,5,2,3,1
60.9,5,8,0,3,4,3,5,4,3,2
31.8,0,8,0,2,4,4,4,3,6,4
46.7,3,5,0,3,4,5,4,3,6,2
36.3,2,10,1,3,4,4,3,2,6,5
51.5,2,8,1,2,7,3,3,4,6,4
57.5,1,9,0,3,6,4,3,4,3,3
43.8,2,9,0,3,4,3,3,4,2,2
19.2,0,10,1,3,2,3,5,1,5,1
51.8,2,7,0,2,3,5,2,4,2,2
48.6,1,9,0,2,1,3,3,3,3,2
55.4,0,7,0,1,7,4,3,4,4,3
63.7,2,10,1,3,3,4,4,2,4,3
31.2,0,7,0,3,7,5,5,2,4,1
43.3,0,7,0,3,6,4,3,4,5,5
57.7,1,8,0,3,4,5,5,2,4,4
68,4,8,1,3,1,1,4,4,2,1
76.4,3,5,1,3,5,1,2,2,1,1
20.3,0,7,1,3,2,4,4,4,2,1
56.2,2,10,0,3,2,4,4,3,3,1
44.4,1,8,0,3,5,3,3,2,5,4
36.4,2,8,0,3,4,4,3,3,5,3
41.2,0,8,1,3,2,5,5,1,2,2
68.8,2,8,0,3,2,3,4,4,5,2
28,1,10,1,3,3,5,5,2,6,6
40.9,0,8,1,3,7,4,4,1,6,6
64.2,2,8,1,3,4,5,5,1,5,3
51.8,0,5,0,3,5,4,5,4,4,4
75.4,2,10,1,3,2,5,5,2,2,1
80,4,8,0,2,1,2,3,2,1,1
28.6,0,8,1,3,2,5,4,3,2,2
59.7,2,8,0,1,5,3,3,4,3,3
51.7,2,8,0,3,4,4,4,2,6,4
80,4,10,0,3,2,4,4,2,1,1
80,2,10,0,3,1,3,4,4,2,1
48.7,2,10,0,3,5,4,4,1,6,4
52,0,10,0,2,4,3,5,1,1,1
53.6,3,5,1,2,2,2,2,4,6,1
58.7,0,5,0,3,4,1,2,2,1,1
35.7,3,8,0,2,4,4,4,1,3,1
69.6,4,8,1,3,6,3,3,4,5,1
58.1,0,9,1,3,7,4,5,1,6,6
19.9,0,8,1,3,2,4,3,2,2,2
57.8,0,8,1,3,6,5,4,1,2,2
59.2,2,10,0,2,4,3,3,4,3,3
80,7,9,1,2,1,0,3,2,1,1
78.8,4,8,0,3,4,3,3,4,1,1
58.1,5,10,1,3,2,2,5,1,2,1
59.9,0,7,0,3,7,4,5,2,6,6
57.9,4,9,0,2,4,4,4,2,5,2
18.5,0,9,1,3,2,4,5,3,5,1
62.4,2,6,0,3,2,2,2,2,3,3
18.8,0,8,1,2,1,3,2,4,4,1
53.6,3,8,0,2,2,3,4,4,6,3
65.8,5,8,0,1,2,3,3,4,6,2
54.8,2,8,0,3,6,4,4,3,5,5
41.3,4,10,1,2,2,4,4,3,3,1
29.2,0,9,1,3,6,4,5,2,3,2
